Tax revenue (% of GDP),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Channel Islands,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,16.721914127157,16.5974714879971,16.7969640040303,16.3054622670901,17.01228763898,18.7437883357297,20.5561884490952,21.402066861405,19.686960468257,15.5640939256681,17.8304362688868,
China,3.93243981615402,3.60948511351376,3.2518060430479,2.49675241057455,5.55086424927227,5.018776616656,4.70407409176611,5.32928975725881,5.66052937134191,6.18620159015132,6.81563311769763,7.40202210801349,8.50340163369074,8.5389962194553,8.8605515151152,8.67959444151063,9.1880603469322,9.92881656740578,10.2686609093658,10.5397293319685,,
Colombia,,,,,,,,,,,,11.0283150328346,9.85437015826845,11.2267740388334,10.5321459358205,12.8128644210304,11.8320783129894,13.604236913555,12.316003292886,11.8308957868925,11.4990898079971,
Comoros,,,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",9.29067611358098,4.38908041173521,2.73389078403243,3.40760166547893,2.65117796862662,4.93161586838294,4.76004716520026,4.05375006486,5.34976331230315,3.45978698837808,3.45650145507476,4.36362123255468,6.66743461401767,6.3683795339803,8.34456758192549,9.97207954445909,11.5506320460284,11.7468081304883,15.2070908956075,13.1358046070759,13.7000050386295,
"Congo, Rep.",,,14.6960329726945,11.735297987107,8.27598843601124,11.2431357697406,11.1310302377472,7.61820461754075,10.9025302147639,7.77133788725592,5.9354262834024,9.21564092173998,8.3614492307473,8.70277394689438,7.84924768592719,6.24311241343009,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,15.7245660081419,13.8614337100854,,
Cote d'Ivoire,,,,,,,,,,,,,,14.9056345026589,15.1789597703262,9.77037724798847,15.0238002081075,15.4752228411243,15.5746876303885,16.5551181482312,,
Croatia,,14.8888717639539,19.7348173178989,21.5487455988172,26.8720230340024,23.1346666966644,22.9788795668076,22.1018246018336,25.320907395831,23.347064494743,22.4228053611764,21.0579271484305,21.6341760203893,20.9286131054153,20.1406652451226,20.0445131211661,20.0894036954577,20.1801496052304,20.1652268657585,18.9978968535288,18.7876370744893,
Cuba,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,33.8262141211779,32.6567872125214,31.3579474479829,34.7495346767015,35.7083603565557,39.3164314054302,40.4583760702998,41.1539796237536,43.6551173095083,42.820434226641,45.4391422381463,47.7099620644962,55.7073580344653,52.3887426390607,25.7706833471026,,
Czech Rep.,,,,22.2851441684126,19.3916218007684,17.0867535570554,16.436640669927,15.8896777306976,15.335968300256,15.8543096707656,15.4354460528173,15.9117325209356,15.7584790328968,16.1458765826837,15.6971353173021,15.5609743346039,14.655956533842,15.1835404728098,14.8271859482558,13.463904475208,13.9258592327213,
Denmark,,,,,,31.9102148507422,32.1927875768592,31.8595360332468,31.8385376606524,31.914183504701,30.8222105268852,29.5493972421611,29.4228974668855,29.4876307303049,30.7945818385191,32.609656516683,31.5757152689379,35.7663467164996,34.7313296280072,34.3129043031132,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,,,,,,,,,,,,,,,12.8930892232305,14.550171655719,14.8369114874165,15.9142470019749,14.9290485252902,13.0670396831571,,
Ecuador,14.1049180097578,16.2390908291557,25.2022348750777,27.7098831030818,27.2492317243601,,,,,,,,,,,,,,,,,
Egypt,13.1883746840479,14.9041206563002,18.4802300503235,18.764175257732,19.0474285714286,17.6230392156863,17.4629468177855,15.9646483640466,,,,,13.4077591945404,13.3499401279463,13.8359776727383,14.0686351509983,15.8295127412365,15.3498523093448,15.3205248464545,15.6613605833813,14.1300762473065,
El Salvador,,,,,,,,,,,,,10.7103664716531,11.1592575116138,10.9935879176873,12.4770384583884,13.5153929501313,14.1686852458853,14.3185105688022,12.7593049707178,13.7498998336059,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,19.2434139847674,22.1691263776605,18.2889473134798,17.9553162478613,16.6276010854713,15.7682376697517,15.4849556772425,16.0303765633636,16.191555691051,15.9625465243506,16.0587040608619,16.1675257731959,16.6258025439128,15.0866416681547,17.4182363112392,,
Ethiopia,8.7053925203816,7.5077206548113,5.64371883119481,5.95726008957602,7.73715198125592,8.4941594926364,9.02117011205424,10.1658127942398,10.9115136673029,10.7093284343744,,8.14588325223808,9.78430917745197,9.18683926479199,9.75502791008763,8.79135703469483,,,,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,
Fiji,22.7570707070707,21.871694417238,21.6010076879642,21.410668253024,21.4956593324353,22.2061424086037,21.2021419009371,,,,,,,,22.1900155920428,21.348064225041,23.187023319146,,,,,
Finland,,,,,,20.7372168554297,22.1212335192826,22.8962562860868,23.056477265907,22.8415398827675,24.64767956428,22.4075297225892,22.9710538406917,22.740172196989,22.54935441924,22.5860546659129,22.1011673151751,21.6643496635712,21.2209834652879,,,
France,,,,,,18.767979093465,19.8972336469109,20.6719612866001,22.6721002034738,23.4149055603515,23.1904842680977,22.9816647767304,22.4619742365099,22.1336651421397,22.2767868171638,22.4213320369776,22.5439934519884,21.8846054403864,21.6708090923533,19.803613216171,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,
Gambia,18.2047799494292,,,,,,,,,,,,,,,,,,,,,
