Trade balance (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Austria,-0.014108217612382,1.10342251801552,1.21465622183674,0.56892910549834,-0.186783407663139,-0.69872826775516,-1.50817972243568,-0.900031769406156,-0.395538333866973,0.97074392000542,0.145527235405961,-0.096676837150694,-0.225891992088668,-0.414423671476661,-1.13714616585809,-0.190845605641797,-2.24180989977519,-4.2627971101751,-1.23959954875958,-1.34515716833271,-3.27337392655542,-2.1910954048049,-0.391787588733776,-1.3094485902411,-0.835091072007116,0.039165826776196,0.24285561223912,0.215293973710568,-0.161451002047046,-0.235303421013356,0.196971052134273,-0.609025700032424,-1.08729519015432,-0.088957431344918,-1.45855324797016,-0.951048043528259,-1.55222694701497,-0.512065998438474,0.576654438187184,1.17382781872039,1.74731387561068,2.19463713515371,4.76015023753728,3.49270674453627,3.77806483916621,3.98421137621254,5.06097340857063,5.72943823883604,5.75556518760086,4.75048011743619,4.30844715545699,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62482946793997,4.45359281437126,31.6072280658078,-18.5559134719446,-5.90744682699957,-13.6091574097628,-26.0319545704977,-24.0024872082273,-31.8289448517367,-13.8940644772209,0.663264787847652,3.60511146875856,-7.28041057488585,-23.5396359442274,-23.9284044478389,10.0394153883011,27.7468448856117,39.6172413413903,42.3100772636524,29.2951081049956,34.761526914205,
Bahamas,,,,,,,,,,,,,,,,,,16.5077093969144,15.1489629985584,8.66818691457803,7.50393188057052,5.01227014398363,6.2345560416234,8.5526352723915,5.28146892900544,5.51988509066616,5.91304614326288,5.51953098986734,,-3.33736120182887,-1.79848389134555,-4.21643374175549,-0.967513669990351,0.573415265200518,-2.35900583000921,-5.36716243802858,-9.78137988362427,-5.26453810118241,-8.09747000293638,-1.69452615394224,-2.48911427357689,-3.5532054731794,3.76961987330835,2.04854664134619,1.9983330544754,-2.82927224261123,-10.7914192900763,-7.22623258864411,-7.86187621698404,-7.73254311079162,-9.21332820883042,
Bahrain,,,,,,,,,,,,,,,,,,,,,8.86797641289634,11.1204795184789,12.2045590895827,3.73112161777271,2.64215191320998,11.9292156567367,13.8973575365648,14.9678514645935,17.8435461324571,11.0139737368712,20.9506961770624,-10.6354823646572,-12.3600537393641,3.14529908487167,7.2083674112279,11.5167761830834,11.7116294836405,9.57148606423044,0.718244538736474,15.9027923384889,25.0458799411377,21.8502616396082,15.6862745098039,18.2182810368349,19.2803882116227,23.104586140805,25.8802610168923,25.3782916048778,22.536853097603,,,
Bangladesh,0.689426828247091,-0.917645717852587,-0.061345659786174,-1.67279280393529,-4.09344316811906,-3.70388081903493,-2.36754151584627,-3.28957596334851,-3.27552239007374,-3.51933630740499,-4.19437115919329,-4.43609706895214,-8.05782868066846,-5.31583796706358,-6.64747008996488,-5.20546835769394,-12.8901113728982,-5.34069426117433,-9.92318862264484,-9.68862458144662,-12.3886635387311,-9.22933171083021,-10.7311881461823,-9.33413011746035,-9.67624702166452,-7.6826160613869,-6.86875583815796,-6.94300347253236,-7.07162760695012,-7.51573661741886,-7.40853902524287,-5.56460987188408,-4.76065321647645,-5.08704346880756,-4.86277736870387,-6.48022680983862,-7.60888339965321,-6.02475003090944,-4.94883107708705,-5.4650698620965,-5.24730529703419,-6.11856449154869,-4.77106599170574,-5.82147653820063,-5.34857019981494,-6.46445845371142,-6.27100081567776,-6.9257354169061,-8.41187536458746,-7.12477911343485,-6.61006679443597,
Barbados,-21.9626168224299,-13.7672090112641,-11.8531889290012,-5.77540106951872,-8.28848223896663,-10.1220752797558,-11.7036337895234,-9.56777171632396,-11.6897305171158,-16.3536269430052,-19.1184573002755,-12.6582278481013,-13.2694023193577,-11.597059739907,-7.00901126550084,-10.0320039389463,-19.0977751316693,-11.513690821256,-10.2787741007194,-10.7328318401582,-1.91263337709958,-9.28803749110868,-2.63818934673367,1.14539644074214,4.74639456641415,7.68081785726123,2.3129250581805,0.531966348262083,0.471087248322148,-0.035015028263384,-2.62194249398416,-2.68756993811385,9.00220754678668,6.17994559088656,8.05550926597783,5.72031927121369,4.18735436236665,-2.21113279197613,-2.06064440643399,-5.57939418440126,-6.57131183327551,-4.02672140371602,-5.9064519213427,-6.29156095161722,-10.9943130311615,-9.96148914766307,-4.24487991556896,-4.43584032457482,-4.14553335554479,-3.96777834379696,-5.05657622581823,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3094688221709,3.4443168771527,1.44943212547323,-15.7299151544676,-12.8346784164737,-4.38820914873322,-4.0749231648172,-5.79647090028872,-4.85548117091648,-2.42841219766788,-3.18752326523462,-3.54971700090839,-3.74702639421845,-3.82909246050847,-6.36384367036194,0.711265754889952,-4.17248035121804,-6.26777254843036,-7.72396810867951,-11.2508385343075,-13.7052077887332,
Belgium,-0.699982560845889,-0.7921226989516,-0.011460605600823,-0.957505705487465,-0.331769297178637,-0.023527209524568,-0.703534744519185,0.419170965999108,0.461252808480256,1.10927246694866,2.18578555346871,1.93209711666982,3.14145810536539,1.87893022234803,0.324003722831722,0.12919053146653,0.10054955450017,-0.93845048997991,-1.06844477196043,-2.11213761269715,-3.30605941477033,-2.53065366182575,-2.13886576455812,0.159162191017397,0.357484958601555,0.844183337668646,2.18571172749432,1.73068387480258,2.34439783162351,2.11091688362541,1.64261331042988,1.76856489431828,2.51670938002568,3.24309430445236,3.68555851102778,3.9318178428689,3.14082132762938,3.76603757182028,3.80102388103453,4.16218520094016,2.92742805666373,3.64256623573776,5.74165101876408,5.40461589376216,4.91359017288831,3.93434203501848,3.8130575436857,3.84517285519161,0.85606539275261,2.72960208885139,2.70107441922808,
Belize,,,,,,,,,,,,,,,,,,,,,-13.196405648267,-21.9543805080352,-22.5941422594142,-15.9259259259259,-7.70507349454718,-12.8137700215157,-2.61136712749616,-2.13342963610604,-5.82724674499841,-9.39005879046967,2.15470290394685,-10.5796733095852,-3.20035726417022,-3.49422518929542,-2.6067591033751,-1.15019771126213,-0.262497634768423,-2.92839081571096,-4.34698366206217,-12.2993401410358,-20.7008134899484,-18.2312199395542,-13.5657218508443,-12.7792183152294,-7.95374240263462,-8.02990096290503,-0.519781890819833,-1.80619453825556,-7.95981452859351,,,
Benin,-5.98637220054534,-4.95114263140734,-6.441481286149,-7.80453852843664,-7.10582685861918,-7.6381474025834,-9.3495180545048,-12.1064443137065,-9.7419441677816,-9.6552865153825,-9.28474376166239,-10.0468155715664,-12.4157470945778,-10.288191311304,-15.1778922543614,-18.8847360965506,-18.0372650711988,-18.601880311939,-18.020276237471,-19.50540920586,-21.5055938289088,-28.0283711872678,-22.3152637135772,-17.8134334984268,-11.3525528504378,-12.9959812819262,-15.9395757964104,-15.6830789758055,-18.279349598663,-11.3095094020818,-12.0387241269136,-12.549476072753,-13.7239046954143,-14.2409943382387,-9.75859206641349,-12.8949782789392,-13.7340843831573,-12.797577832694,-10.4086964060644,-12.6861884050101,-12.9375856756446,-12.7112746129963,-13.9418408544999,-12.8439479665361,-12.7396875876906,-12.6464735794826,-11.3417885128039,-15.3229750573718,-13.6068970126312,-14.3631955079122,-13.6064775356143,
