Trade balance (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Colombia,0.934874804894663,-0.836149922788422,-0.00379565325731,-0.367336266555809,-0.691945657381508,1.01813229469584,-2.96295591905157,0.516232621231616,-1.30665607430692,-1.14652253343536,-1.50638630995421,-3.84896589559037,-0.527386948221123,0.822503280144761,-0.930567432626929,1.72793390009578,3.19386729291525,3.63113770196459,2.8587552288268,1.7664615657414,0.633260540170854,-3.58084351884961,-4.24458718118542,-2.78311117543188,-0.596382453279898,1.28879329682153,6.84385697255551,4.03426428841459,2.42938784310209,4.18464887296769,5.7444789178946,7.4348742197577,1.95136237297123,-2.33039390024631,-5.92081378100043,-6.4297445393461,-5.64518378353415,-5.91398060173793,-5.89422137953144,0.543878186128784,-0.366152387499522,-2.74311920577954,-2.99515464004275,-3.08415504767956,-2.12813635211625,-1.77381466150825,-2.87114207419679,-3.25429649803281,-2.25107424169035,-2.04916524427175,-2.21240148612096,
Comoros,,,,,,,,,,,,,,,,,,,,,-43.2436563526026,-37.4545117899992,-38.1528879941345,-33.8549506024096,-46.5167763282109,-33.0605082158502,-25.052426543332,-27.25501674132,-23.7863290000858,-24.4065154550881,-22.8942033669242,-18.1961798075542,-23.8099293195946,-17.7417193697074,-27.1748264405114,-24.8030226236004,-23.0572643387009,-24.8809857182862,-25.9026473458338,-21.2021560195365,-15.7998719982191,-15.2716605379498,-15.0282193262398,-13.6739325636149,-17.8619181592802,-21.610324468363,-24.4133979280772,-26.5949044433541,-34.3729464691907,-33.4986074774242,,
"Congo, Dem. Rep.",-0.500545233040623,0.470645460017495,0.308194831957743,0.113886452072114,-3.80161773124054,-1.31016480446134,-6.90142709653893,-0.820424813773805,-0.786048561823133,-1.04677520883585,-2.7637651766711,-6.39718523929213,-4.52630558681518,-2.43470141185408,-2.84937285040894,-5.12779604269922,-7.49598837892717,-9.34455707420576,3.15138203207392,2.60732584227895,0.126565105986691,-3.00107530344262,-1.80300580375335,-1.05260946449378,-0.104295160604356,1.87673107173442,0.679474344092192,-2.88036395768955,-2.32302737809328,0.651049835042136,0.299235888209006,-3.74469769276331,-0.846240634005004,2.21885902258544,2.73388313026656,4.75604529833718,-0.310730575809113,3.75000006,-3.09913015120437,5.98178304899924,1.00976117815558,-2.03901118699375,-4.90968703941674,-7.21325784446163,-8.81846801613482,-8.24667190953915,-13.6785733754797,-10.7706554091072,-15.2497423020152,-13.4343735114243,-12.8157788784547,
"Congo, Rep.",-65.1538412228447,-64.2016468118977,-32.4621170291157,-21.3746232068841,-18.2964091771624,-17.0781857863815,-21.2177121771218,-25.3424872161793,-26.8489067524116,-24.8185920572378,-23.0263157894737,-20.0676369557034,-23.478270531401,-11.7549586092715,-6.24555003548616,-27.8588807785888,-26.1785856905158,-19.6809627659574,-17.3476500252143,-1.2156862745098,-0.110987791342952,-18.0727339856009,-13.2394366197183,6.18118118118118,16.0041731872718,0.782859497321796,-13.8348330177815,3.11341978444729,0.197268588770865,13.6953947269441,7.8740157480315,-1.92532847664889,2.78207109737249,-5.90555979476385,-15.707072763549,1.09827684150729,8.77125490497807,15.4350992107398,3.65359707851491,13.1859518388187,36.6836684841876,24.1087931455353,27.573791629056,4.76295385962152,29.6913869492076,29.6527789102769,18.5397111209073,25.0063709326188,28.1490051523771,20.2125486895013,30.4217462013496,
Costa Rica,-4.7614519606484,-3.61865474231732,-2.75534160723246,-4.55617635827301,-3.49209690026622,-10.0139982175793,-5.71075708806673,-6.18269626156394,-4.51167360850978,-5.19159010160511,-6.76986713155253,-10.3881195263218,-6.43637865990358,-6.1009209846406,-14.8104127778223,-8.48577103975304,-6.00176100292404,-5.46586411389043,-7.85025926492877,-10.2705264057455,-10.3411372819333,-4.90782319802994,2.91902662474479,-0.934216076014953,-0.026363793711853,-1.60012224796527,0.071445082183939,-4.05428485228322,-2.22482060575426,-3.82094838345323,-6.06287576114765,-3.56134882609138,-4.62727381952758,-6.4662705347215,-5.57128629695811,-2.81002696968032,-3.47124396610017,-3.84016472720848,-2.64537457259118,5.81778036896063,2.85672148288847,-3.05388572638242,-5.24692198352484,-1.86616876564007,-3.22480710681397,-5.47430200193989,-6.14824593230713,-4.8050146943991,-9.75633726484156,0.585064408067278,-3.09519300034177,
Cote d'Ivoire,11.3350266037583,7.188982909556,8.6456955941421,10.4155857506679,11.1632600599082,6.69919164511936,7.71063550190164,7.43243168444122,12.7049084644742,9.69200395067819,6.66169431488654,3.78266620932697,4.50546999232226,2.5219110724191,7.32070383358999,0.143798319058474,5.49371666282706,6.2954796509697,-0.914291133782322,-3.05928351213395,-6.17703103228271,-7.10919189195466,-2.90356429823398,1.239542860615,13.5206572023574,14.3773122513184,9.31445965419952,3.80973211361263,2.59798546713112,2.97812723255849,4.57825373011599,3.02563137704722,3.79390851981749,3.53638389916224,11.2181457118683,7.31625542243683,8.68271416652553,8.32956123133686,6.36511914707404,8.1658258957444,7.10423773376299,8.37893429580471,16.6286340802977,10.925287771338,9.20103691571652,7.46478603211072,10.2938039158413,5.87514590086002,7.70908935747058,8.05605210799724,4.59116109311823,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.47684280669625,5.46814124208828,-1.18323877003582,-0.071934082762964,-8.41082163793212,-6.62364952269243,-13.0845125323975,-6.8800076126819,-6.26332651436703,-3.27067200919468,-3.92570694537619,-8.37822665399238,-7.87550318001568,-6.38758611350035,-6.49573420517762,-7.06977229392426,-7.61705537808244,-8.27729043382976,-3.93401806659598,-0.509565403019271,
Cuba,,,,,,,,,,,-11.5558195329848,-11.5571284370503,-11.5568870734361,-11.553569904835,-11.5581958679903,-11.5533163687148,-11.56367294729,-11.5556803148408,-11.5369839845869,-11.5813257231275,-11.5289188861385,-11.6154558063449,-11.5157171952939,-11.4435023406041,-11.8030344086381,-11.2668846593584,-12.0481404246743,-11.0170241469016,-11.0824280594986,-13.6006947508562,-10.6364025097194,-7.13375718035991,-1.31033371953903,-2.52741064935345,-1.29646895693084,-2.50539400059488,-1.9982172336743,-2.90701800033115,-3.99936277519175,-2.79390663945031,-2.81594754819206,-2.89079736012347,-1.67518100409641,-0.683258359678565,0.732145287779953,2.67398614582991,0.238329531816139,2.70512853327873,-3.78201564971993,3.03009380429232,0.651068895660718,
Cyprus,,,,,,,,,,,,,,,,-21.206225680934,-12.8781072177298,-19.948002836209,-20.5923000987167,-19.0854239441091,-17.8087589505718,-13.0707799086758,-13.3183729399821,-13.5655842050687,-12.442051146784,-10.09310440834,-3.38559567014751,-2.98280922980523,-5.42612506957445,-8.41419185264643,-5.60707813906184,-10.0086026844132,-11.1830867897772,-0.433627507863282,-0.397184101679218,-0.077898741194482,-2.90144934849279,-1.73547228341597,-0.950271101400032,1.74356344549857,0.844001486770384,2.06857635260486,-1.55941930654784,-1.24021210140195,-2.45658476250397,-2.56729503712982,-3.75034769279942,-6.25237984675275,-10.7479608954706,-5.28974389236398,-6.44317205840252,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63494091344618,7.03104271690103,0.897496457250827,1.52648907512721,-2.67910286239922,-4.32772232533845,-5.84053352723955,-5.18161950732541,-1.08846406405664,-1.16786981142322,-3.02032415039679,-2.50036773864963,-2.08461828121044,-2.28150913232264,0.067998644290352,3.17410791785947,3.42412678374202,4.97247882878041,4.55387024213105,5.55682575054504,4.76816320097812,
Denmark,-2.01135534253593,-2.34537675908869,-3.88546952121018,-0.388319054800332,-2.77585202392329,-2.24302097826918,-2.23125942731696,-2.66587668996909,-2.0335719982006,-2.84285153107717,-3.71135346261724,-2.78614129249029,-1.06502242152466,-2.75469782735829,-3.55582452618528,-1.69134679202324,-5.28971070592602,-4.33128185894267,-2.87374424685393,-3.56598095395144,-1.61756283805282,0.441558079187477,-0.043373081810185,1.38171649785382,0.698814007063425,-0.241465445462115,-1.2686341825717,0.95599508726638,2.28243286325476,2.64496009565608,4.59978492781759,5.43504242517124,6.23994176010236,6.69284905062354,5.24758302668011,4.0884904540751,4.90823646455126,3.6721299241943,2.11453100896774,5.0488144359207,6.03556670476667,6.63965780455537,5.83709771063212,6.25042389852423,4.87198024799138,4.9055270417801,3.17817632238109,2.28418700568171,3.17268554010149,3.75329992883006,5.26532957037537,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.5966447811992,-24.2230364033044,-32.2524452395805,-20.2241791888113,-14.1010602688151,-12.072668897531,-11.8674184179053,-11.5059998209009,-13.0071053282303,-11.0398886564567,-15.3258347598588,-8.47630899650646,-5.17824982770897,-9.15781399253191,-17.1983104540655,-10.3320939477553,-17.4430092575652,-20.0613167167685,,,,
Dominica,,,,,,,,,,,,,,,,,,-19.755600814664,-22.1384060347655,-62.9598662207358,-70.564642476656,-44.1299848984842,-28.3232240156266,-19.4161260426321,-32.771342594501,-23.4089713727553,-5.88896232650364,-8.10810810810811,-14.1407121267779,-31.2670534392484,-25.9914926050195,-18.845190689273,-13.3211035960644,-12.4535667940367,-13.7380953009608,-14.5957990859077,-10.0234937343358,-14.5266044815479,-7.96371648693656,-8.88089638954212,-12.0867036032633,-13.5108851265697,-10.2213275609727,-11.5241621531798,-12.1145575680422,-18.5384726646508,-14.5085009501312,-21.4925751735274,-27.7780097564226,-23.6442299665227,-22.9652184345737,
Dominican Rep.,6.78168015483361,6.91025667995556,-0.315495704521129,-5.25085105453756,-8.33658762391109,-3.96351776470281,-8.99481625385291,-6.92887514495555,-8.15494369293096,-7.63104448938921,-7.36501920603122,-8.12530004800768,-4.81054705074096,-3.80005849993842,-11.2968269073011,-2.30044724784182,-7.30121062592435,-4.16821070678343,-6.82808310991957,-6.35411464077132,-9.77228161281466,-4.19705617253816,-4.90959220782828,-3.89700759698249,-4.63680085834247,-8.9500188113975,-9.1048593512403,-11.860534782158,-8.72657553943558,-11.058396191714,-9.8648001837132,-2.93811676632152,-6.92362315732043,-5.30569014167865,-4.8522125592662,-3.55517792712319,-2.96471888306755,-3.98441972437532,-7.72618981839022,-6.7558741894071,-8.81929756202584,-7.26786546717626,-7.85435534763816,-0.338452680946211,0.771750934615628,-5.47358730669156,-7.98407701315656,-9.09683792887358,-13.7526275839019,-8.00415139103051,-11.7458692682941,
Ecuador,-2.63605858649896,-3.96098743722967,-2.66413373342461,-2.66363152978212,-4.41202793633521,-3.63783365628242,-2.55063778187608,-4.24948576287383,-5.45571245186136,-7.65247410817031,-6.98924731182796,-12.1062379402105,-5.64474346905045,0.925568862027153,5.0433009053636,-6.19488070476928,-2.93807303873095,-3.1060396991582,-6.45659323302611,-1.15818096828047,-2.14375840796969,-1.90435189003436,-5.40642970761647,0.295090202289226,2.44266868737436,5.24714783332931,-1.93110194418887,-10.819129907375,-5.26720726001843,-6.92008595879161,0.985413316729318,3.37653247929882,4.84530008255365,-1.59404888416578,-1.71216344126619,-2.53020181460347,2.29452931341929,-0.084617766754677,-6.87163913983116,6.57310788301294,6.06878408580367,-4.39185393246583,-7.50235720263463,-2.44532287644055,-1.85630097659037,-1.09658597019618,0.886816737049504,0.641701398195997,0.071804205552618,-2.43346157877743,-5.6690769324067,
Egypt,-0.575128603104213,-3.47843060445887,-5.86673416710524,-6.55094667928104,-4.55027210619653,-3.80752943655279,-2.9468834136149,-3.11546240425494,-3.80923237010157,-3.30286880070158,-4.56774888830761,-5.1001212664824,-5.78483135634839,-5.17825638996207,-16.7319666311449,-21.1000363934083,-11.7288547122571,-10.7142841802493,-15.2730967138958,-18.6068490566023,-12.3513378230345,-15.433028446981,-14.8982262986213,-10.9474558790309,-13.4612690256747,-12.127250021542,-9.86286366736158,-10.2075751288653,-17.8427422231812,-14.4579241392656,-12.6656876762326,-7.98008879322933,-2.51617541337168,-4.25257731958763,-5.48571428571429,-5.14705882352941,-5.44899738448126,-6.05490786009778,-9.49895615866388,-8.25747724317295,-6.61570126433402,-4.85085029272372,-4.35471097023576,-2.58682634889156,-1.3599835081773,-2.26555246915478,-1.61890885878615,-4.57841031149301,-5.59463986599665,-6.63980042218384,-4.78203215647273,
El Salvador,-4.53324808184143,0.069156293222683,0.475866757307954,-1.81194397443499,-3.55041124851213,-2.42446348846944,-5.116617812435,-3.01987432765252,-1.75487108832851,-2.60720408483685,0.28598778054881,-1.98293598066096,0.968568957369474,-3.02290581659159,-8.41357139954927,-5.16951989743261,-1.27304437547252,0.69213046395382,-9.26354732020877,-0.169763977752534,0.916630680140754,-6.90911282494093,-5.69293272660298,-5.42076698875494,-6.78239540269222,-7.56300588685691,-4.37779800392192,-7.11001366027188,-6.47434067881656,-10.4527197106508,-12.6705749186694,-13.3062645417416,-16.3451082049574,-14.7526942288417,-15.2417150304034,-16.1204292589977,-12.8554968369506,-11.6577137572032,-12.293697700201,-12.3450324252607,-15.0333317005209,-15.8027976790588,-14.7105901430798,-15.9064778323486,-17.2474253558927,-18.5219202283869,-20.4849412690626,-22.4119493257863,-22.8169474126266,-15.4779536324476,-17.4685477522661,
Equatorial Guinea,,,16.7770250536865,28.3132530120482,24.174133093702,9.06072228371387,12.9744851203396,9.70939097676922,14.4308082945408,15.8740277954864,-9.39222949689869,-3.02540006205949,-9.5881289831637,-15.2106364539517,-16.5028167458301,-7.83157683763967,-5.48545719353397,-5.66140446379967,,,,,,,,-9.4837012994928,-21.9352242540608,-37.5848009135524,-41.6509361040834,-32.1958445346771,-37.4400334145795,-29.6509898690907,-34.2150622549836,-35.7074263874623,-48.971352675279,-49.0100056515797,-82.8389754395135,-22.5440837832783,-71.7367050948308,,13.1948318167725,9.26635573839138,47.2765119326929,20.424281264351,35.141598609007,43.8106796326681,53.6585448595824,51.60525984063,47.2547125456654,12.1622140160109,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.5299766771848,-40.9466197989046,-54.842452369321,-60.5465898953856,-58.1499795853559,-56.1851310832629,-65.2585997002716,-77.1904210807442,-66.643709825528,-55.2010253981782,-57.2545547725754,-61.1242348728474,-54.0203987098916,-48.7754739336493,-31.4611749543551,-29.4155443115352,-21.6998114985862,-15.9099029670368,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.89223061327127,-4.06611657164893,-10.3839307929338,-7.57426984676335,-10.9887656762962,-10.8665270637118,-10.0305772646175,-4.90088967428227,-3.60633265290496,-2.47555752533364,-7.35752253483216,-7.49011644898652,-7.05496002055145,-6.49945492074846,-10.2472317678503,-10.5592570159499,-4.13070650556514,6.11412103746398,6.68121115959275,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,-4.29849647117194,-5.57553583639471,-4.82083587986881,-6.27286975062184,-5.66334473066779,-5.32877643422225,-5.68305822494846,-5.68773070017705,-3.94217951518575,-3.2858588631195,-5.11140084439423,-4.40627471013418,-8.61986026382572,-6.97889805717106,-6.03696636299098,-7.01437648118579,-6.50124733453337,-7.63902362411902,-12.3123192488263,-11.9378706037691,-11.7259935025799,-14.0001141885253,-14.0973540370179,-16.6776382673468,-20.3798615759843,-22.7037516358031,-19.2981620217826,-19.4308540561828,-18.331383488694,-21.069020274072,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,-1.79372197309417,-10.1184068891281,-3.17622950819672,2.43190661478599,5.84532374100719,-7.87671232876712,-4.51127819548872,-2.67584097859327,-4.45816186556927,-4.33145009416196,-3.2325338894682,-7.78669183577159,-9.29965556831228,-13.4791566834199,-5.22222222222222,-0.640113652321217,-4.73137283502065,-2.75720283907653,-4.41471033893478,-5.43301947899554,-4.94053992651028,-14.4101677712554,-6.40439504620555,-5.4281124606906,-1.06641574531483,-0.379785187998481,2.18923171649449,3.27600327600328,3.14941597379693,2.31434110537719,-4.81313131313131,-3.19294809010774,-2.997002997003,-7.07118778504858,-3.0309833857207,0.443899094157133,4.00267737617135,2.59998015282326,2.50022784579397,-0.397354455859671,-5.10489299809529,-8.05156600709797,-2.43933790959412,-8.37935830833078,-16.6011885494746,-12.19226287927,-19.7394901131274,-15.387132184712,-20.9457255081994,-13.5765660333707,-11.9001143390457,
Finland,-1.1310345813446,-1.37221717423078,-1.51767070276588,-0.334591477879937,-2.22894919170925,-2.03346981735087,-1.93408064470973,-1.26478285360863,1.07168810880821,0.424437864401127,-1.70213245639121,-2.33399485132824,-0.489880948526493,-1.31485866079485,-3.89945105393729,-6.13830613830614,-2.20016623478218,1.32840012481612,3.13192792938047,1.05617899454539,-1.31701596656343,0.989624900239425,0.174940898345154,-0.010614133780542,2.40693988344944,0.680497635706932,1.10282192669478,0.265881540009914,-0.624643581820352,-1.88869511573003,-1.5540328720498,-0.966943215555582,0.81322361842343,4.55227971494625,5.70109949776028,7.48147068620919,6.99982850974972,7.40268206369901,8.08018451355129,9.13825099533196,9.13952872650252,9.36835908333812,9.23381089623101,6.8212270925095,6.52279563395637,4.09263858628334,4.72053811118149,5.12317188455764,3.75235633112511,1.64098818673993,1.30480021811586,
France,1.82711016681202,1.58037592367918,0.716101272480999,0.128677396708851,-0.41259645733812,0.655087892491535,0.039675135288127,0.04088543868421,-0.287243521717774,-0.790383795837408,0.242884784724196,1.06730269942679,0.901483296254162,0.789172110171965,-0.930862955105608,1.12214784733455,-0.802113086417366,-0.031931250171119,1.07622486812779,0.405460503850486,-1.57627594295922,-1.52207963770512,-2.53928180342631,-0.325141333500145,0.081980551128571,-0.447152724234552,-0.197460124666447,-1.19647833594489,-0.761423413563731,-0.788458687472509,-0.887614012664846,-0.406750129017369,0.593509732801485,1.6192500811728,1.39547934819248,1.47369837842266,1.62033060774036,2.87395984183658,2.53393393206999,2.13278617134842,0.99540609587335,1.13663633875654,1.52554144471847,0.894891272914506,0.404331822937936,-0.633219034940199,-1.04548355663863,-1.5482893141479,-2.10475403616938,-1.8119012444746,-2.34607639560464,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.673807100866,-23.6928316373343,-22.1661118249369,-21.0467992425464,-22.2941918099814,-21.4841868752504,-21.8807871402434,-24.6489134147072,-19.2127048703501,-19.3322125636883,,,,,,,,,,,
Gabon,1.54377722105635,-0.451119093149256,0.945857754904594,1.70933303379113,5.94038816933913,5.94594594594595,0.1655794976125,0,-0.823031324271242,0.604595798687979,11.7318409537786,13.9865842055186,0.829557603686636,1.17940409683426,14.2857142857143,1.6219723183391,-0.514532053956334,0.333236742973051,14.8367952522255,21.0828420726032,33.0900243309002,22.6679371129109,21.927832450164,17.7822487038613,18.8921732425138,5.29156947684105,-19.5130228217528,-2.5245868383934,-5.06085280931802,4.59752901535006,15.1795631247686,13.9919800376968,12.282263627494,14.2461904846688,23.4245931556876,23.639301874596,29.6555891238671,24.0717571001254,-1.16207939508507,21.4935562521769,36.3624244775788,25.9896951978464,19.2218375421855,24.2505060953085,30.1810770955684,37.0377168610121,30.1209640774467,29.3663579643185,34.5603361079772,17.6140797369681,25.425840353383,
Gambia,,,,,,,-7.40665231158961,-6.66838739789965,-11.0029247813411,-10.698780021254,-3.11730151445617,-4.81406462882096,-6.98268581081081,-7.27846875,-4.7424624771202,1.09399663865546,-5.29801638522398,-10.7816177086596,-26.2067633928571,-28.2956641932448,-20.862271716523,-22.7959440767086,-15.3037665299138,-11.9939531825053,-13.6642466960352,-10.0517613999483,-9.4741705040448,-9.86881804202973,-8.08756503569075,-10.2174369181292,-11.6799402478783,-11.295992855575,-12.8752303241404,-16.9660183659933,-15.3013898404735,-24.1253552864012,-15.9398656623008,-4.81260789585683,-6.57582763747382,-6.82548029451729,-8.85850178359096,-5.4077096495697,-8.3328372230348,-9.24592938502384,-21.1110443668993,-22.8134993168362,-17.1781774849292,-16.3117866847826,-18.646875,-19.6814501510574,-19.4,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12517580872011,-4.02181322426721,-2.71777003484321,-5.74482297929192,-3.28981723237598,-30.5857123709958,-24.8614067293208,-51.3584093500287,-16.8248867594764,-19.044261737121,-26.5324621964928,-20.6491907982254,-19.0407025702895,-16.6725816371146,-14.4071958243698,-13.1705276513174,-14.5844923241713,-16.6265508564269,-17.8194579786972,-24.1511481948591,-26.7448671822195,-29.7836051348779,-19.1945972108389,-17.4961728471602,
Germany,,,,,,,,,,,-1.47467542137067,-1.76944642460593,-1.66492912635765,-0.975478174754452,-0.402694759390995,-1.71259612301194,-2.29087766107171,-2.20218437179724,-1.94850396269771,-3.74857379421239,-4.86250758240325,-4.09916435906974,-2.72802272431876,-3.10407121086062,-2.87778250104768,-2.05585161765312,-0.266295943806548,-0.219397088415404,-0.241614161971936,-0.525912311745283,-0.063911809259828,-0.377948651114297,-0.404634797379277,0.173257115917261,0.334418134889462,0.594536110359751,0.960533333333333,1.28986719648646,1.37418992702965,0.878912108789121,0.307692307692308,1.9829677910462,4.49770190413657,3.91850989522701,5.04486040898119,5.21443984894803,5.62038117464022,6.99938233477455,6.23211253941305,4.99094546220257,5.46875,
Ghana,-7.2463768115942,-10.3248010324801,-4.25531914893617,-6.27158698418469,-3.96375990939977,-9.5949263502455,-4.99209694415174,-2.51279659615137,-0.47053289619698,-0.609786564945684,-1.36768019683207,-4.47510503627409,5.48412316224476,5.05540975868058,-3.47632017902476,0.929395604475478,-0.338634559930408,-1.05613012139877,-1.32849779533155,0.070865794893902,-0.688416096710411,-0.567289567771803,0.356271464662378,-0.433062566479488,-2.72660866564816,-2.9349883092874,-3.55958161214614,-6.52294677958654,-5.87865831237424,-7.60060591991573,-8.97235315492367,-8.5612680596396,-11.5416879440186,-16.1612747593183,-11.5038777744259,-8.43021165568843,-7.98058438331052,-20.5812519993165,-12.8568405076323,-17.5484248308983,-18.4439148990756,-19.579821834573,-12.256739015757,-15.9290603602042,-21.0636839089158,-25.2730802132,-15.5375757045702,-16.3040823111636,-19.4552895490906,-13.0106611369857,-11.7727044892955,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,-7.64743163167333,-7.20997222941798,-7.27205207540517,-8.03210810092234,-9.8415845829118,-11.2713754710838,-7.64596677032992,-7.52040919594515,-8.83999310394581,-9.01890756478742,-8.45318512010584,-8.29084594872124,-8.33415178273514,-9.97007204028463,-8.21518137202641,-8.20966666063889,-7.8996719872478,-7.80424040635475,-6.76058979850737,-5.94896371540864,-6.77316183006416,-4.82787190101416,-8.62215637882208,-9.5908538499846,-8.46539209336852,-9.4736460803266,-8.40658910082757,-6.95772839555726,-8.09807851807589,-10.4094958965928,-12.4601771833227,-12.0161206337344,-10.6396642839524,-10.4942264921306,-8.4838171228424,-9.67392441080656,-10.396158148162,-9.90667756671357,-11.025926088381,-11.4738806084723,-13.8772164855694,-13.5307802517341,-13.9371519297959,-12.6105983480332,-10.3307770283083,-9.28987505711542,-10.8115091365352,-13.4706024643203,-14.410349186727,-11.3525353494341,-8.87711439831284,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,-10.4882961728138,-8.44390832328106,-21.1870418538662,-32.0251594613749,-44.8377581120944,-42.7426882389546,-32.3855508538485,-26.6760842775344,-25.6810249614247,-20.4665269463148,-20.8296456413891,-17.9230892742453,-20.0945626477541,-20.3571852865938,-21.0183368085367,-15.5239366342672,-19.0602371021572,-14.1341256366723,-10.4597833780161,-20.9060284579416,-25.7487783613563,-28.1025863942621,-12.7122026624578,-15.2344418687006,-16.7811456448135,-18.8548530665181,-23.0291924559884,-21.365308718052,-36.207028350646,-35.2362576425678,-33.5591778913116,-32.8397186119825,-25.1982284260203,-28.8450063664216,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,-1.89727876717693,-1.54174807096481,-1.63518712836656,-1.64713335445043,-2.70187072540958,-2.82409507341301,-0.194146828063063,-3.30237350830688,-1.68270726721306,0.373090838217217,0.793067226890756,-1.41072148327287,0.371198787359426,0.677253586062409,-3.25794727590161,-1.8102525966351,-6.0110413152651,-1.80093108230845,-5.78690878807919,-4.50265104967563,-2.73268390883701,-6.51176240773888,-3.90042460113983,-1.5580102764336,-2.14889154434444,-1.03578687639742,1.45978026348959,-6.44514670472733,-5.8325636096158,-5.16664827744596,-3.81444358558431,-3.61504429986273,-9.2302702071301,-8.37286593894274,-7.33100280120376,-6.17134228075296,-4.77271835901729,-5.63973511092848,-8.08052672105538,-8.35065860370736,-8.75551911356832,-13.1296699229407,-13.4339609173278,-14.4122667760642,-15.1271187108177,-15.9392843268318,-16.9547342649827,-16.7679489731246,-14.6887077667163,-9.1298293005775,-10.8862342389577,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01948172452687,0.927603034047226,-4.20196991077214,1.3076326383902,-2.36654742781116,-0.254705146965413,-1.19866583941612,-1.56537124023192,-3.11018310982282,-3.40656452059337,-5.14997094893298,-3.29289474054259,-5.63726656665333,-4.39401239370499,-4.26610949428405,-1.40405062392389,-2.2754014683217,-0.090631349676212,-2.31315199137012,-1.28180334408665,-3.33704336765115,-4.56660998500078,-5.30547250465943,-4.66081439577677,-4.44766776559188,
Guinea-Bissau,,,,,,,,,,,-26.1886120996441,-30.1538797337116,-31.274433150899,-34.6666666666666,-34.2299415923762,-20.7617823668875,-22.6627151122413,-23.2978210222128,-28.3184292614854,-34.2542388346219,-29.1542811571086,-24.525461840358,-33.4449769669902,-26.2445313395231,-37.8802354795198,-47.9515141324507,-26.5998796300279,-27.5891477454415,-38.7273015329089,-37.2987965261004,-27.0985244367696,-27.8086354060972,-45.2093959716663,-23.8474278907567,-17.8549634806682,-23.4760936801519,-21.3113634500432,-18.866371418889,-21.3991468990779,-17.9552942453361,-19.8012133103566,-34.3483257783518,-21.4033593640288,,,,,,,,,
Guyana,-8.22481151473612,-0.91023226616447,11.7594254937163,16.793893129771,3.59389038634322,-2.4,-5.16975308641975,-2.35128144838937,3.09031556039173,3.81066987565182,-0.541448842419716,3.72274440547389,-1.30151850767327,-16.7028535980149,1.92730694283668,-0.025265851950731,-24.9273838550095,-15.5597100578726,-0.015781652208735,-9.41859369685167,-12.3541135278515,-23.387604694306,-17.3029045643154,-18.6989079019074,-7.19783303628304,-13.7948750769231,-6.90783598350369,-11.1942425564226,-4.30159819975944,-7.19264385317445,-17.1528929128673,-22.1259723429698,-25.2504190282989,-19.8458750569225,-12.978038217431,-10.9060293529563,-6.09491268699148,-9.81653891960178,-11.9776653809005,-8.04236933059306,-14.6086545151458,-16.4255036323154,-12.6883458771371,-9.97704207999029,-9.86429713679237,-34.583652435511,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.1845992144714,-17.3946656358717,-27.061566358691,-18.29218686442,-19.580642785239,-17.5684946190456,-15.9892602536802,-16.7198438020858,-17.4502555809051,-20.7192575406032,-23.779463243874,-23.8737397370996,-32.0404482372785,-28.6557872167651,-28.899931561877,-30.5330581236719,-25.7021489255372,-31.4601540364739,-29.696819830351,-45.1997902857357,
