Exports of goods and services (% of GDP),1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
China,,,,,,,,,,2.60965884703186,2.76069823983942,3.18474131977438,4.33063182567887,4.97558112811605,4.59101844861799,4.81442440425714,4.69396376472388,6.60350608286736,8.51814113271078,10.6478356585874,12.5752718324671,11.6702553417697,10.1910237908365,10.4112871244823,9.21293496191766,9.99960111921092,14.4878063369093,14.833164446108,13.9028079033678,16.0739894949765,17.3658611121853,18.6478089339748,19.649676130844,21.2664065896321,20.22507469883,20.0538555581899,21.7538880258837,20.3465989678864,20.1698930511225,23.3264056696268,22.6002122086608,25.1333335109252,29.5560886031422,33.9517252957283,37.0812547870734,39.1338083267734,38.413981378886,34.9795093698339,26.7127130195295,30.6145489010562,31.3739000427168
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,12.9557802672841,12.1913769566876,11.9762312104151,11.9199756987262,11.4206810795163,12.1127854991625,11.9763801609721,12.9842141343702,13.2264231038576,14.3106776572668,12.8298885082689,14.2394551625935,15.2163182628722,14.5788868132414,15.7982562674645,17.096585645631,16.8987571084411,16.6027669066188,15.2252193055786,16.2114582080006,11.8520881920422,10.9318153312901,10.4448486160248,11.8757949306433,13.8142598314137,18.8372464406074,16.9529782771603,16.2896881641905,18.0012616789974,20.5654291500911,21.3431825776511,17.7084642188228,16.4289319554352,14.9983618345688,14.5337428892103,15.199461701397,14.8415437434707,15.0073508369912,18.3465787501541,15.915139715438,15.3871357665009,14.8155696775272,16.5752997117627,16.7707514248023,16.8499159209304,17.6374974602629,16.5392324252097,17.7894839893603,16.0308096550658,15.9204556530887,18.9536921395359
Comoros,,,,,,,,,,,,,,,,,,,,8.69931829870803,11.7580757031191,15.6862708581428,19.8277481927711,9.01890639120933,16.9978189333215,16.4403772862206,15.245195916253,17.9849835426914,14.8824091925827,14.2521373799101,20.0114893005888,18.0405347866814,19.9699860649587,20.0734315005624,19.7633967654241,18.3236837343948,18.1429463843354,11.3543120363472,12.7113696950828,16.7366966265038,15.5212163781349,15.7312271027397,17.5159258185623,15.1139307501602,14.143894665343,14.1967188231276,14.7308019099362,13.90981033098,14.6663220524939,15.6331882514147,15.3150902010569
"Congo, Dem. Rep.",9.85781244844946,7.74946105413637,31.796529748746,33.5028603791395,25.9230592484586,31.1194601542643,15.5509376632208,14.5158203934686,13.1820329465232,15.45995825789,12.1387988404902,11.2511027157416,13.4415787184643,16.1811067579895,9.96313476219668,12.1531787186651,10.3281946610149,12.3487522493289,12.6487974917884,16.4784739322714,14.1409006330923,12.1495893266541,16.238242752868,26.0130107633912,27.511068592318,24.7109802882956,25.9813578235278,25.4989962413104,25.4897397422435,29.5038037331756,20.3801336469863,16.6780607743376,11.3279909423021,22.6252744780519,28.4822888848653,30.0027633753465,18.7500003,29.7900882751427,23.6356700066023,22.3918816632299,18.6345764107009,21.1033481167412,26.6419554391687,30.6750768450596,33.6175349376047,34.2051099282271,65.1643736566326,61.300721303412,45.2053047246768,68.3361296209343,68.2766316676737
"Congo, Rep.",19.4595554761803,30.4895973673167,36.4728990435162,38.1526018011053,36.0082230435755,29.8892988929889,30.4794572738797,30.3858360128617,32.075490319588,34.7368289473684,32.5817251696533,28.3091787439614,31.6225165562914,53.2291838183109,35.8880778588808,40.3771547420965,45.5849946808511,43.7214372163389,47.4117647058824,60.0166481687014,58.0210448587779,55.2676056338028,57.9454454454454,61.6275430359937,56.7882159044087,39.8337009349443,41.7343061338469,40.6221547799696,48.5242020247214,53.6802467191601,45.066736047873,42.8661179804225,44.2191816866202,62.9960309866037,64.7045701571672,68.4582134338694,75.5966393744929,76.2776297713242,72.2900710687918,80.297147219193,77.4200268515354,81.5164254833959,80.8123655970076,80.5297928332926,84.1581731086679,84.1596778063622,78.5294841648014,75.1514873840155,70.4179847885783,85.1196712667939,87.2830492778424
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,21.7799157375421,23.5893671725235,22.8775905501555,25.2618657177219,23.4695166717264,25.1329163383826,25.4450896129117,28.3983859046749,27.1426809885068,28.2197877872939,27.2523470052684,30.6689544315336,31.1206005089765,33.5305743733557,30.0620073840468,28.9089544450989,30.8689102385078,28.1811900294023,26.9228314838305,26.4778837115285,43.2683558651695,45.0838978923333,29.922632654388,29.0042172181471,27.1202318555496,27.0257951706905,26.6787008505407,29.3484766015596,30.2698448384597,30.218855941651,33.5606814324352,35.2162477550387,35.7734707653194,35.5610171394541,37.5554488296663,39.3149346646503,40.7475184912532,47.4639106782191,51.7449028564672,48.6229216132374,41.477200717291,42.3863564392565,46.6691075010453,46.2559544591211,48.5000533361874,49.1290601344524,48.7110642057786,45.4352002467513,42.2803010035799,38.0593570294542,37.3840577366
Cote d'Ivoire,35.2925194348563,34.3926245714973,33.9354516870637,35.8860300438331,36.8234112964854,36.4069906804602,36.2237193332822,40.6998720875849,36.7617975687573,35.7693255044049,32.2099926933927,33.5121208202,35.7538908116009,45.6968875723303,36.7285825474553,41.7414702609292,42.6260418402635,36.5212030720531,34.6033223651317,35.0016293313943,35.1750034914988,36.4232286837066,36.9598599158351,45.3119276970722,46.7749129816887,39.4959084089505,33.4299901983188,30.4881284922882,32.0333356381271,31.6898746715606,30.0117263454653,31.9094869288971,29.4424528744934,40.5274018640381,41.7592996636706,41.1009950896473,41.4197992165038,39.413348185278,40.3505367998965,40.4276834710855,41.8429257060064,50.0282942098157,45.836610863982,48.5557976024358,51.0520458974648,52.6505826515581,47.8159299950129,46.5120462444418,42.1950719793631,40.6443353315834,43.7400329068204
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.6515065661534,59.6322970589898,52.3908945205249,45.8437396162322,33.1276107714593,35.8926219316735,35.6751373565464,35.2991586753208,36.5294090296071,41.6860468232276,43.4282681877629,40.9257948400091,42.566185656285,42.9323048338714,42.3492496549555,42.8412355678295,42.2848891787135,42.0644640986888,36.5996882198559,39.3581693432506,41.7799966245
Cuba,,,,,,,,,,32.625359057196,32.6257613331822,32.6263050703546,32.624116484548,32.6137488764886,32.6368635048332,32.6277727315542,32.6290237464892,32.6131735805466,32.5619108269647,32.7524366279997,32.5823188758741,32.6352788190409,32.5339227422738,32.3055970529075,33.7050656575575,31.7317300996785,32.9000785377898,32.0271423604621,31.163968610477,30.2390454474216,21.9311796428748,16.9182668436665,13.1942098098171,13.2397139329236,13.4015117028802,15.3134031250375,14.9237962327822,14.2524653606148,14.537128110755,14.1301218379072,13.2353637405195,11.5271029818043,12.9518265253541,16.0218622718754,21.017864094062,18.7131342893059,20.3364986732874,20.5676394841316,17.9364982514058,19.6135454692675,
Cyprus,,,,,,,,,,,,,,,35.4863813229572,49.7454327643007,47.8137556133301,42.3297137216189,44.6808510638296,45.2584487067338,50.2511415525114,50.9220427646651,50.4090774935422,54.6582895931428,48.7383597900047,45.0371674940279,47.2868234054358,48.0785602793156,51.4599678584975,51.50056485503,47.0856520731296,49.4569596184214,47.4913732555654,47.6894842085079,50.0129034724678,50.770088236171,51.8320575617632,49.7889859998382,51.7507277416631,55.3576460622197,55.9853188472434,50.7527882342504,46.9668046778528,47.7824842927378,48.3194167869216,48.0049239218564,47.9438251779079,45.4387690171805,40.2690900507494,40.1145147437733,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3672475296007,45.9498514748453,47.6610383208474,47.7556458306032,44.3593056909463,48.0818032444839,46.5089294837589,49.7657725526813,52.2507009187128,53.330355231687,60.9340441468035,62.6172117489463,57.6417802323634,59.0898437935948,62.9802981732026,64.4342535124484,66.9745868877886,68.2157610639524,64.4479148531472,58.95242858435,66.4573436327986,72.547294324681
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,29.9969634721219,28.6194585200142,30.4029648010097,29.8521605315621,29.2971283600682,28.5519489369918,27.3355832797873,27.6631535297528,27.5513295417051,28.0368724332752,27.7886867100115,27.3669995923359,28.7430898076732,31.8971285745213,30.1994189291946,29.0127337873359,29.0546737814754,28.0576155598709,29.7448159294224,33.2128539611836,37.0799501474186,36.8846316749748,36.8883766631944,37.3290816710639,37.4498103432325,33.0488864211064,32.4008943135925,34.3061585147459,36.1842473236559,37.1537195116148,38.5440600757351,37.8505286263436,37.3656105609837,37.6919888018261,37.5274264500341,37.8295969660249,38.7344632969126,38.1697554603542,40.6604844112724,46.5075894751241,47.1937562658588,47.187261653179,45.3029901712657,45.3180373487566,48.9890031237522,52.0698258643503,52.2184745266814,54.734843299383,47.6424654160585,50.3664721687839,53.4088968126472
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.8377523069306,53.8377578572463,44.5498522851661,43.983454590675,41.928968283486,39.1448855928371,38.5181388461757,38.8253335721322,40.4458828704038,37.316041216424,35.0562903395386,37.2955629869479,38.5712980273153,39.9121124844415,36.970813093981,40.61078106693,39.8872992059717,57.0882522744918,,,,
Dominica,,,,,,,,,,,,,,,,,41.2423625254582,42.7189242374549,28.0100334448161,21.9966159052454,34.5656915934896,41.2254549192968,41.1492122335496,35.6156478008162,36.5429408670824,53.3278255122274,53.2303453127748,54.6435862490594,47.1420618814494,54.5438330935014,51.1617882507492,51.9826154867758,48.5613452903767,49.0579984703545,49.8131948983671,51.343984962406,55.8008468829584,58.6609142271667,58.5696500207498,44.5384334987783,36.6365225677414,37.6661576007521,34.7445361329151,35.5548907958128,35.7720819889588,37.2508351536277,35.3052535817324,35.1226362064263,32.5364878787758,35.9830597420279,34.3631361700844
Dominican Republic,23.2533194916204,23.8684634920408,20.7270436363325,19.6957902896462,16.3044708048002,16.3431237697124,18.0807885581755,18.4876280311333,18.4802930445911,17.2276820367769,16.4726356216995,20.6712628498367,21.8791325544405,24.9350571506699,27.7164996913889,20.8887992450481,20.0104641272974,17.3424932975871,20.6390474573001,19.1675471532615,20.8201455342601,14.3395274145004,14.4050102245603,28.2080068943361,28.1524416437451,24.3596537058013,25.5640167733497,33.0207308050157,33.4684004690695,33.8264229537167,40.1188566428467,37.0728700508735,36.7408299739034,36.7079358325271,35.765593205721,35.1951154946708,36.2160147130042,35.8264253598336,36.5682381693655,37.0474880498911,33.7272084268204,32.4796823634999,43.0781200115407,42.3275493357365,30.0305391558056,29.9911102848298,28.7768975208588,25.4861363305872,22.247981936219,23.031818710238,24.9217501726276
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,16.4932126567707,17.8897207833027,16.2460725775157,15.6542506899847,16.2489903313948,17.7044269565516,16.7923227726466,16.9448010269576,14.0391254315305,15.2329749103943,16.3063613072223,20.0414286469956,25.9544935060114,36.576667172233,25.9625743303086,25.2814919197857,25.7873442503294,21.6205777770139,25.8660273789649,24.9516602272462,21.9788096219931,21.5878080017045,23.7950464329948,25.7534488582144,28.4917621859247,23.2217353902632,23.4194610776421,27.0398083113356,29.045469232957,32.9823232128375,35.4050970520571,36.0270200729106,25.0929853347503,24.6379143194373,25.727868498036,26.3870606232244,25.6303929394085,21.4878537875012,31.5281274820439,37.0653936522926,26.7457071075692,24.7036616198701,25.6879266866715,27.4107443871034,30.904340120551,33.8538399548121,35.0758466979827,37.8620565282316,29.5415306269032,32.9494062897801,32.9494062897801
Egypt,17.2066492749041,17.1617217022632,18.6632776748988,18.5185148700409,17.5377113441219,16.9496325833845,14.6458442540993,13.1908056671489,14.2100989961808,14.1838869997384,13.7916138220568,13.3484762302277,13.9820826898247,20.5116395340481,20.1801461447027,22.2684701315323,22.4832214765101,21.7457879572586,29.7284518128023,30.5146374207094,33.3718239888207,27.034308655399,25.4820023423629,22.3512478724446,19.9142831128266,15.7315667722953,12.5587106225488,17.3183872458094,17.8934794473258,20.0475984995687,27.8156013572968,28.3968368080518,25.8376288659794,22.5714285714286,22.5490196078431,20.7497820401046,18.841669800677,16.214335421016,15.0520156046814,16.2011173184358,17.4797881237803,18.3161782626886,21.7964071989937,28.2299607000439,30.3435470049092,29.9498138875437,30.249731471536,33.0429927414852,24.9568221070812,21.3492458146859,23.3147844943043
El Salvador,22.2934741606941,23.2324949014276,24.0431027376951,25.3781450612826,26.3865481169888,24.6621919363197,25.638187920681,25.3485976689033,23.1865837461518,24.8349395209836,24.6315721135164,29.0950518174517,29.96006576001,32.417701133839,33.0467276208572,35.543833407148,38.1651044520766,30.2663704274443,36.9715119832283,34.161547755266,26.678690195269,22.7774040282829,24.4885177863812,21.7541398539142,22.3237654511579,24.6681633937123,18.99230416502,15.810681842245,13.2377883078493,18.5559748841365,17.2140836193328,16.0896939442944,19.3552074618335,19.9659074525856,21.6374972482626,21.0758799481504,25.8941114363902,24.7897325056511,24.936430042116,27.4003312858114,25.831217756497,26.3666673656399,27.0677291366213,27.8327414975029,25.6397056242614,25.6820497339723,25.8827450024621,26.8816200830573,23.1968442960166,25.9129452722852,28.0856767342902
Equatorial Guinea,,68.1370823192556,62.8012048192771,62.6023313760553,42.1117660686247,43.8190324603289,42.4253296259754,29.6233601354211,36.104381826682,35.6995175740868,46.4670419788111,34.7902596784933,38.3394280158109,42.3395559483044,42.9809764000468,47.001312241337,47.0116848754921,,,,,,,,30.0934726772123,35.4617653437593,37.244337637821,40.1743036525584,36.6709739530308,32.1524481065633,48.2344575134982,1.94579886439673,1.97199283961981,56.0223408104285,55.2042001174506,77.5777215716606,100.822164219276,101.747861658609,,99.4558668180833,101.354254858937,99.6188726164446,96.8492563640811,90.1305541635235,87.4173831312055,86.7579109249746,81.8922063997886,78.8065007926717,69.7976527620814,69.8993759944003,71.3935203437145
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4236063474642,30.5566909180087,28.0196629213483,22.3880193550131,29.2337703579368,29.6148227877297,14.8344829685145,9.53440754918544,15.1187196641742,11.8250926871167,12.7202381614927,6.44244020379531,5.77542998496941,6.1664691943128,6.89936634088712,6.52980655349388,4.43449575871819,4.52937261358461,,
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0731816604995,61.8798503421184,71.743191338834,74.5594947826934,70.4444170734985,84.5943800397089,79.8271951707606,70.930814229371,69.1901501336178,73.074576134687,77.7182360463972,72.7001374077725,67.0721993353828,71.047914703328,65.0542447517385,79.4291579101706,91.5092092230149
Ethiopia,,,,,,,,,,,,,,,,,,,,,7.63202434677466,6.79826322416774,6.48952120446218,7.61546710067823,5.83637711273805,6.86992520724007,5.96744234279576,5.87693498519785,6.60211148632088,5.56020813043396,4.06403964595911,3.21222520141994,5.78211948875953,7.12161701635297,9.68907064206283,9.26412152412269,11.365376696206,12.8694639320056,11.7268982785602,12.0332757172008,11.9992895467976,12.60430971534,13.3170426128283,14.9017519258643,15.0996375204894,13.882387902807,12.7281786464619,11.40412621031,10.5775195018211,13.6231756125385,16.8427303919297
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,30.6781485468245,35.655737704918,51.0700389105058,55.9352517985612,46.3184931506849,43.4419381787803,44.5718654434251,47.3936899862826,49.5291902071563,48.3837330552659,49.7876356772062,45.8859548411787,45.2852369276301,49.1333333333333,42.9943003142418,37.7065130063765,43.9175783188344,42.6516661919681,45.2710518657592,47.7787994441753,43.0221548949063,43.2318345310507,43.6088394405833,42.8291482788364,44.3600455753893,41.663807347609,45.3180453180453,54.2958004535147,62.6696209667903,62.3434343434344,57.3114593535749,51.9176475698215,52.3775530438231,56.4211944319713,59.2912050236385,62.8480589022758,61.0399920611293,60.8044475498982,61.0226648890283,65.1585194806064,60.6738284945,61.4847155503697,59.8672011781665,53.8147614544393,52.9091891781325,49.8318336186062,48.2806151861894,51.2243997646838,45.5551826348485,53.8672428977163,47.5222023600186
Finland,20.0095390169933,19.9202838835224,19.0730336089066,18.969808468418,19.0117305039287,18.6973418368438,18.5242368210111,21.3040894265704,22.7032684355149,24.1571598053614,22.839531845261,23.9376258291091,23.8881497451071,25.989780513429,22.3998223998224,23.8302449518408,27.174252217715,28.195412954976,29.9343362401418,31.1934329614818,31.683958499601,29.2174940898345,29.0975863459783,29.9216036142063,28.4448011725498,25.8384690236782,25.1581018761923,23.9897616805697,23.3785338885528,22.5301177840476,21.6553035192509,25.9689408816549,31.817098457945,34.7959368354373,36.4725599600266,37.226498269966,38.7604768113243,38.5763647743739,38.8314353218172,43.5765346646999,41.5075239790937,40.5274076549295,38.7003456308278,39.8618207610366,41.7610478374378,45.493922118662,45.8115998442974,46.8347067377606,37.3449088313467,40.2721537394573,40.7011744328503
France,13.9191861789575,12.8329879563643,12.5957667651555,12.6368545647088,13.2292212463374,13.2884135319226,13.1449321780713,13.1742493206123,14.0116224489398,15.9705851278755,16.494737253189,16.6672922016069,17.5840229962122,20.7297709200465,18.9601228273873,19.4554113587607,20.3263250709133,20.5818775398211,21.1071544519042,21.4000004497343,22.4199183927439,21.8580539189579,22.8914208075506,24.3317494973329,23.8125921633514,20.8024184148929,20.0214869563522,20.8094700022405,22.1454736402961,21.4812343958857,21.8112090099274,21.8080659936732,21.1981589042153,22.0331605465842,22.9552982665344,23.3875883605223,25.9256638528273,26.4677002767836,26.3544232645031,28.813828581598,28.3602778743975,27.504534562028,25.9110481517182,26.1435958259255,26.3596397537436,27.0235170456142,26.856377449159,26.9488592718272,23.368962840065,25.5656863780318,26.9556018937213
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31989180040847,1.42308233556394,2.4532104297166,3.6654854398235,2.93262342818017,4.20228151905667,4.35428181608518,4.08880524176644,5.01600003577494,4.89658290517091,,,,,,,,,,,
Gabon,31.2116929829848,31.7142573505694,47.1029951190204,41.8918697921688,43.2432432432432,39.7351059164083,48.0539071856287,48.4224832860128,54.6554602013933,49.7206592802996,66.3176974310181,73.0874377880184,58.8454314090627,57.546408393866,49.5242214532872,45.5847587261855,51.5937409446537,61.7581602373887,58.4858827179646,64.720194647202,63.3635064316341,61.594751450921,61.3247697902964,59.092661611618,62.5724758413862,35.1913124628828,42.6949203875348,36.7305839700992,45.7955821789592,46.0385042576823,47.2634592924424,46.0755528582817,48.7946135128426,61.6756399787038,59.3869990303814,62.6632449876408,61.3040108069859,47.4063516068053,59.6125043538837,69.0321767086082,59.0321301415463,53.564005585942,55.3351709243841,62.2035443158144,64.7382572359929,61.9310128899128,62.2477959471635,66.5672140870948,56.1438936933394,60.2857840164977,64.5566643230611
Gambia,,,,,,36.1706700443319,40.5214655775963,39.9904373177843,40.3928841657811,37.7915594309316,32.3672104803493,33.7730574324324,35.10261875,38.9730616229408,44.7085944777911,41.0568524571172,36.7354956895267,33.6812232142857,34.9595523410045,42.7362071224807,43.9610959459877,44.3343878812321,50.4882953990573,51.1249439899308,43.8648538659912,46.6241493466086,49.4180871348027,50.3657153045913,55.0599814509466,59.90273680129,29.4389186960845,30.5927061270011,28.1920148241523,21.2396184488971,23.7756488088191,21.7986717191068,22.9322031625349,25.3055744115882,24.3973605110493,25.798674098659,21.8207981905223,27.1573844716288,31.093786185692,34.2249020153341,32.7573992768066,33.8470801315188,28.8912408174922,23.4529472612808,25.3495092087022,23.4908363629776,28.8627790860498
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5611814345992,42.5357873210634,42.3693379790941,39.9465597862391,27.7806788511749,35.6721619085913,46.8887411644884,57.7720985828359,25.5018948414317,13.3262889389791,15.6101316831256,16.4587245272882,19.0556058990918,22.9946300673576,24.4613732949412,29.2291741630674,31.8376173431689,31.5557490292277,33.7482422346083,32.865547523125,31.2057156367186,28.6199722052768,29.73941140477,34.9511326618302,36.4511262512217
Germany,,,,,,,,,,16.4298314881455,15.812622371816,15.804907754368,16.6760969663826,19.8056951039176,18.5824654085119,19.6262012395399,19.5265569592128,19.1538205951486,19.3578615893542,20.222984235052,21.8667933109501,22.6652047850797,22.0368323791594,23.5943583774559,24.9121708271086,23.1182173626845,22.4621457174373,22.9042157279856,24.2177884850286,24.8001293749465,25.7005082757722,24.0148022324678,21.9918675231304,22.834698687016,23.7408709764674,24.8037333333333,27.3983059709296,28.5829463693422,29.4035596440356,33.3846153846154,34.789000428184,35.6706687927962,35.7196740395809,38.5498929726283,41.3176586944794,45.5136349885475,47.1653283920115,48.1522354272779,42.389555695936,47.0050476724621,50.1739566458382
Ghana,26.1346526134653,24.2147922998987,21.1779676422469,19.8996926063744,17.1235679214403,14.6206533192835,17.3967954818205,20.3211394545071,19.7230966006202,21.32518831177,15.7608480321324,20.7004338015301,21.4497894280741,18.3257866227601,19.3564269764213,15.7089888474343,10.4941148024016,8.358866526289,11.2323718115018,8.46634934582716,4.75587246893259,3.33830726627178,5.55591808557931,8.04401327676679,10.6544322692945,16.576049903834,19.6626090870584,18.1834226954157,16.7426186027129,16.8779041894676,16.9635265198659,17.2259395235637,20.2539300232432,25.2586364495677,24.4964405356244,32.1121806715056,32.4102939964856,33.8713521929926,32.0783392015472,48.8022588012154,45.2330164063177,42.6162524538496,40.6790422762581,39.3033252866422,36.449216950714,25.1927170348656,24.5250023203633,25.0294297297295,29.2910887043689,29.4046672002259,38.0151159405373
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,8.65449899732439,9.06245284038361,9.35047759431657,8.5423839779736,8.36350872961251,10.4989522772474,9.93638118191299,8.94470044174044,9.06415340736086,9.67840279031706,10.014733318529,11.2094104344426,14.2881455341867,17.4535889919856,17.3626766090988,17.2485190809327,17.1644773865887,16.7623887869693,18.6298851973385,23.7254871022318,26.2613010348576,21.1287877658792,20.2288768998217,20.627684674217,19.8085610748541,21.7247694165591,22.252163197141,20.0305197458099,19.5776859676482,18.1446804180837,17.4338644811618,18.2677644915706,17.2474009249089,17.7358584194881,17.710903191375,17.6150391923036,19.7968333163481,19.9561484020856,22.5436443769875,25.7269863253379,24.8659866155769,21.8064089147053,20.7094720462104,23.1307286097429,23.2098829679751,23.150912970564,23.7890541862788,24.130236428308,19.2633942995383,22.2433124977446,25.0549322714743
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,50.6355490727235,50.3344664985196,51.4542445022464,47.351169383416,44.7113358617783,40.2146857498444,38.5333164396638,37.9453002081448,43.0424377868648,53.0051671731022,47.9934443656981,47.0456005138086,40.2760394938117,42.4282542492789,40.7104746718999,39.5855157669443,49.0291549044442,48.0560271646859,44.8069705093834,44.6628789783297,43.9672536170329,46.1856118235166,57.4341804097382,45.0500815738092,37.6726003081789,31.7097610383595,30.106286136481,32.955512985486,21.25414948399,23.0299508002307,24.7358502012117,22.8018701779072,22.4638165378219,21.4501861903691,22.5702359293302
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,11.9531913694682,11.7873382301504,14.2857142857143,15.3875771512643,16.7868417262715,18.940101671041,16.2091499699396,16.7339338935026,17.8034284361778,18.5714285714286,17.2863764611044,18.9073433612692,20.8819855702576,22.4070859247447,21.7230311596212,21.5723986822859,24.4557974129918,21.4756354687639,21.3484767915122,22.1864012197488,17.0897474851179,14.7871972389472,12.9944745867538,13.0021114187677,11.9482291923032,16.0518997566206,15.8489082208972,16.1036751557906,17.3074488622578,21.0275209423808,17.9526059616575,18.0659894300903,17.703031106822,17.5199449479992,19.2590440307493,17.8101172991418,17.9561080230154,18.1716066211,19.0049241253611,20.1950343956927,28.2074571806082,26.2989610280924,25.7736975858418,26.9755161859293,25.0546746264001,24.9317230844067,25.5652790474942,24.7182645168595,23.9753921366798,25.8013889009802,27.1415433473865
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,31.0918998786182,31.6313529876736,26.8725854951949,31.0936007642222,31.0752357945534,30.3308789185949,24.8746135406172,26.5184739210767,22.7523273532123,21.1188077611766,19.1951011384785,19.5610874810623,21.286704361551,21.6395182613144,24.5238730445774,28.5786627532063,26.4778105821642,25.9567433484922,24.6259751805605,34.7856530874066,40.5900069676151,28.7647657212958,34.9327167555494,26.5376633767252,28.3501064135423,30.2919204566518
Guinea-Bissau,,,,,,,,,,4,4.15802684710248,4.35561636695335,6.05981035740337,5.01844451275745,5.18490616206155,5.27257551482488,9.30434580340309,7.73470818373692,7.2722292763979,12.6875951569637,11.1931325043092,7.84021715249918,6.00916385049793,13.4011977549629,9.75800534617568,5.23522488293186,11.3670049927007,12.4408947929552,8.89071942351703,9.93598899330354,9.98248735665666,4.9024898431866,8.86943636014869,16.4544077524485,11.6671696702936,10.5244040220064,21.0167632386752,14.4436976127321,24.8611766473885,31.7752912317105,28.6056946756637,29.8190950433479,,,,,,,,,
Guyana,52.0715630885122,56.6427289048474,62.92731496847,57.1129080563043,55.2551724137931,54.9897119341564,57.4418057841524,58.2372143634385,59.2458884877657,56.4600448095594,58.4116324573165,57.4670479541891,52.1867245657568,68.3460716590821,74.8799979821811,66.0769345255364,63.2079619252647,63.0827473524082,59.8069565747852,81.2864679045093,68.922985354459,52.7800829875519,45.878748773842,44.1611528404607,48.0871778461538,46.3041501967425,79.568342016583,63.6297732587267,66.3407610511217,62.7066703682759,105.907656116199,127.555308045921,117.379981241367,104.951974685546,101.21056838581,102.621309241023,99.6600655633369,95.9327549382812,96.5084717132055,96.0799732536993,94.9932691165663,92.7721427763474,89.8138467603261,95.7931670883553,84.6228685982544,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3114454832107,7.5715114031697,10.8453501424747,6.42072655589975,9.13354121142184,11.3278737726708,10.4527358577909,9.90047145102148,12.2491119646519,12.6952822892498,12.3617269544924,12.1272386948569,15.8202374789158,15.353985767913,14.0399321569911,14.4855286713358,13.2397437644814,12.731154475438,14.1829763767121,12.2504629997841,13.6697269279478
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,22.3189219539584,22.4887160288344,22.0867869332033,22.472647702407,27.2682591172712,28.6207828749295,28.5236590141758,30.4112546589671,27.9790405758543,27.911479944675,29.6853625170999,29.2652564588894,32.2191792120698,32.1411309811503,30.6939501779359,33.7166188114715,34.8307902453341,36.1751755157324,37.6859876553194,37.2369441965775,31.6368150381273,26.6747026507352,26.1618462259276,25.7005122024706,25.0996020349978,26.5852695678801,22.9620712184916,26.2890498324505,31.0044509416906,37.2018824280131,34.522496015692,32.1702127659574,34.6820044955705,39.8378490749082,43.6985096115392,46.8521659024768,46.1864614080005,46.4223856441126,41.022880564491,53.9722104561466,51.3816606792915,52.7305620543684,54.0940049632808,58.422979210466,59.0054227501271,56.0546316626046,53.5090139534381,51.325280525239,40.7605908966166,43.8711721743327,47.5748209790482
