Gross capital formation (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bhutan,,,,,,,,,,,,,,,,,,,,,,34.2347497310958,36.298589890767,40.947001729287,39.3007543088262,44.9139700637027,44.4510367996143,40.8133442737678,41.6640727797423,34.235827189621,32.3856070001775,31.8310567732218,47.9703734045175,44.985260514166,54.8518482330439,48.0028543104109,44.4544724566479,34.9454429629651,36.8495351957656,41.0041742494903,48.2127284026341,53.6396931552871,59.2041450766294,56.7918064791746,58.6688252943188,49.9122454800468,46.1303400731678,36.8986483070982,39.8218701622469,41.2064485042508,,
Bolivia,,,,,,,,,,,16.3853028798411,16.8357153834332,20.1375598086124,20.4170458592173,14.5814495788322,23.022569516605,19.1845470010426,19.1573372973475,24.6948219462248,20.8313934153642,16.637606647181,16.0510481128154,15.6240086501764,13.2382287213999,19.6716054537939,19.4643030274657,13.5624888689357,13.5840640446552,13.9807785599881,11.5875574072322,12.5319362738956,15.5777689535635,16.7043353742415,16.5637753579276,14.3711949890365,15.2440033815769,16.2372204183745,19.6319691258164,23.6065116343224,18.7718519755817,18.1434787351707,14.268434476796,16.2946733632398,13.2320723781809,11.0217031707365,14.2536216933476,13.8653311291826,15.1866548335467,17.55274008066,16.9712613025522,17.0070182412594,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9831460184897,41.2139024496707,42,38,28,20.5512781403556,19.0774402060564,18.5598725889297,18.8444830266569,19.3999963131828,22,23.8872010700385,31.0573181187364,28.2,21,19.5,
Botswana,6.01573162221648,7.39942396760175,8.79921730902098,9.80726649529335,12.2829511791997,13.2621951219512,21.8157181571816,25.4462003115376,30.7368421052632,38.2538253825382,45.3226976069616,50.4405286343612,50.9441384736428,50.8999704927707,47.8720846357297,41.8998667428136,33.7712519319938,33.4648257725181,36.3636363636364,37.2193953906016,40.0521496573889,43.4056761268781,37.6584852399407,29.3891200373294,29.4435306166786,22.9944128810203,21.4853452558371,15.5008334596151,23.5845154886472,36.1081829228058,37.3669769651251,33.2101747012515,30.4193006321517,28.7796119201619,26.4640587879866,24.6352008009152,24.9912843251912,28.1852199811335,32.6046392913294,23.9566069783494,31.7598512599451,25.7743721769679,26.9589448429984,29.9972188342453,33.1506349040489,26.2917505524654,24.0178825357519,25.81566717006,32.3112197505642,24.3913817759252,28.3345650369214,
Brazil,19.6780377669677,21.356137763074,19.6046616856033,19.2598833605591,18.6023977762652,20.0239245984596,19.8928912980702,16.9187143774776,18.9175614383774,22.3521985356816,20.5420320914821,21.1179144676572,21.1708137593368,23.2440898226411,25.3886901138282,26.8388731532382,23.1162106612351,22.0691465973124,22.9732218585318,22.7644531027239,23.3464749536178,23.0841204871596,21.093764432071,16.6820441120503,15.7405601052749,19.2007534697981,19.0931088921315,22.3046606068612,22.7185283455264,26.9027870631375,20.166606912234,19.7691008597592,18.9346033048049,20.8463587802237,22.1454157562706,18.0272999234628,17.0400303831398,17.4263525048042,17.0284138776135,16.3766197183099,18.2501301418758,18.0285315819546,16.1961318751514,15.77077651787,17.1174010995633,16.2056948481282,16.7558422002428,18.327619428379,20.6855584551286,16.5084834948445,19.2495491112294,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5828970551711,18.6804576085253,20.625488663018,23.2575201760822,29.6502864033766,28.6560948262054,36.6616989567809,41.3142936364897,35.4930672541143,33.8053097345133,21.380017955624,13.0579196323701,14.4299926440943,21.2597243815865,15.0554611915722,13.486438548849,11.3667042302375,10.437401924744,12.9848740952629,13.6680736742508,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,33.9963545584933,35.4878131559666,34.1295283578786,32.8899271942195,33.2033501404234,32.1972792355511,35.8763419404092,32.9038413799924,34.4174343330524,33.1090560785587,25.5887799413496,22.5976425644805,19.888943936255,15.2820334827702,9.39117179908676,15.6986037554025,9.04218773438272,10.2156664014256,16.8372952298383,17.7546974884721,17.9797591274678,20.2378731510101,19.6808790945949,21.155327682647,22.745874081371,27.5520921746318,32.1408198109825,34.0932286580926,37.541696440487,29.3658053432874,24.9233373038586,
Burkina Faso,8.51993878366893,8.65423247318054,8.70780070559274,8.80123690652457,9.639108391597,8.71195306706428,7.97208405031119,8.02271556142473,8.27018496101537,9.61030713710401,10.2700337748305,14.8739002149463,17.2774944406193,20.6310689130362,25.5231718176964,23.1042220005861,22.8445038791389,19.5624544445065,18.3189338096905,16.4000938532591,15.1069505708681,14.1309296447009,17.9266349264702,17.1322658595012,14.1666284829696,22.9532781497867,20.1365915965537,19.2226564059963,18.7889112720595,20.410017165619,18.9133966256188,21.2456099036483,19.3024334699931,19.4593973869915,27.1661616457605,23.9253428806421,24.9447071243336,27.3917783789427,24.1745628344856,18.3047815763225,16.7543239974295,13.7785378157286,16.0120274568346,17.4445277142795,15.3421903867787,20.453274773229,18.1147936635186,,,,,
Burundi,6.25,6.89655198505182,7.37704925895496,6.01503764360418,5.36912734546063,5.76659311825392,6.7675665220635,6.85148387923851,8.18964441671865,8.28877005347594,4.53079461935769,7.60767864326492,3.18169610194764,5.3118238069234,4.0522996009489,7.58007643419691,9.08841750354228,11.1964113948967,14.036886178699,14.9162154755363,13.8857679938726,17.006175599845,14.4573966443689,22.8267996582487,18.3708354841712,13.8611293275501,11.6442300026968,22.6123716109696,15.03513990682,16.4628867955167,14.5369768617378,14.4097631879489,10.6382980654897,11.5401492789818,6.97412715109177,6.36343638760152,8.20980615735462,6.09684947491249,6.77161419290355,5.88493631971893,6.14187866927593,6.22145454545454,6.43978788915498,10.6122353214789,13.2996057674958,10.7746067371351,16.3773466524302,,,,,
Cambodia,20.1793708176718,17.7777779800494,18.1818179803227,17.6470576424452,15.6934318844904,13.4868421052632,18.125,14.8367953649323,14.2091150827793,13.9088729870665,12.5313282404005,,,,,,,,,,,,,,,,,,,,,,,11.8804071006518,11.9385508110684,14.5523168440338,14.7200558133345,15.0204998399985,11.8337696622431,16.9837280193836,17.5289931980863,18.6794949468483,18.1245168533656,20.0987603311083,16.2076093248239,18.4657001737516,20.5505135224546,21.1972913260266,18.616727856372,21.3599103751508,17.3676571968455,
Cameroon,,,,,,12.5313277264741,13.3428984369852,13.7646556058893,13.3590735031762,10.6955609381154,16.0276563165986,16.6471026230674,18.2467810894363,19.8914569697719,17.0806863271305,19.9738658728565,17.5884525385002,28.4892085624278,31.2488126972168,28.5203698747399,20.9828387879437,27.1877091322251,24.7963165299737,25.9778457269475,25.9436609479619,24.8849469565078,25.5128340586793,24.6997632689723,20.8973122903902,17.0960125622574,17.8119783732764,16.6726548071662,14.3053862786611,13.6711603206915,12.571164602477,13.2964771753817,14.240258158044,15.1304471938641,15.0453955901427,14.8591468266508,16.7208854750007,20.3113152852008,19.7891832805257,17.4958115070598,18.9095824760372,19.068300265155,16.814913448735,17.719631743337,,,,
Canada,,,,,,25.6996657396085,26.3866207611845,23.6221409035374,22.7567602178005,23.5610258544147,21.5194224819526,22.4547643479056,22.5687589275154,23.9174602189894,25.712486529298,24.9756653860996,24.5837375121254,23.6490430957628,22.8388129550754,24.5452952138409,22.9838735328732,24.811427271542,19.2913686394162,19.7729140029072,20.5088282004173,20.9108652416854,21.097434156487,22.0884195159129,22.85832188865,23.2843971976258,20.9112529249722,18.7839507884097,17.7976530379169,17.8463772580255,18.8723693786136,18.758899640436,18.1877820052004,20.7333361276853,20.3877054295591,20.3021860854748,20.2308799091937,19.1812990050973,19.295171761767,19.9902734560142,20.7232749712218,22.0750521347022,23.020811428532,23.2397068755071,23.2377333920413,20.8665879652188,22.204433315606,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8091465940717,28.4686884269655,22.2050662348936,23.9365919245498,22.9015003602602,26.2223657251282,34.4531911430717,39.7420494336794,43.352199089212,42.434915448431,24.1106195223686,22,19.8,20.9,30.7065481234781,31.6790724352699,35.8200438756001,31.0233262354974,39.465847828743,36.032511269297,38.0458266416387,46.9781449296983,46.5673892209779,39.4090870983191,47.1264100849703,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,19.636355674553,21.19205262085,23.2786931478629,21.7665569489995,22.1264357331221,21.4092140921409,21.1340180412371,21.8362332506203,16.2191162216888,16.3656809951136,17.9836725248138,18.7486064341005,18.4335091537883,20.8458197336599,15.5018226961449,13.8013083900349,11.9662600840813,11.5539360097347,10.8868706703721,9.79419790679857,7.00712560000224,8.73940578971559,6.6693745614446,11.8326550465655,12.3071418635186,15.3840610482698,12.8034460802384,12.5188678183187,10.362043421971,11.5118330475348,12.3082788286394,12.4053431877385,12.1612615151986,10.1706712925829,11.7,13.5,4.30314212641578,9.8,13.54,14.4,9.5182443657009,8.35845348887518,8.95795694808702,6.10971763581921,6.1625490464964,8.91287021892454,9.2449363335543,8.96267853960422,11.630045045045,10.7593717310053,,
Chad,13.5736312013244,14.7800441149409,11.6723096355751,15.1239938405984,14.9853211257058,11.0319397990407,13.1527315633924,15.6561652643203,15.0434606122141,16.8543400931184,16.0926226479797,15.8907709773765,14.7506384975132,15.2303365544207,18.4747648735967,20.528055951946,17.0543138407715,18.5147556592869,16.2312452865227,,,,3.16176392164139,2.73289728883313,4.83039723543572,7.30237247819851,8.13293999279778,9.12948306395702,7.03549730097074,8.03107436894003,6.75350746018763,6.54307025302504,7.46811392412873,9.75930185453133,16.6399110708991,13.1924876042749,20.2501604926262,19.4847788568883,16.9342205131615,13.6915005968784,23.2739022182501,40.2503769155729,60.1561730271718,52.1217743266507,24.2838719165331,17.9500066942316,14.3512962133848,18,24.8,33.9,36.8,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,17.4129123505019,18.1632587375972,15.2944906798188,17.9380703053224,17.3622065437613,18.2626896912611,18.9189189189189,18.75,18.9928057553957,17.8039438218187,19.2041864139021,17.2015011105154,14.7036790411187,10.4690685097615,24.8390330441728,16.9671933292991,15.6937526996805,17.3465723734675,21.0298104884404,21.0566383817212,21.0223928684896,22.6968535308674,11.2821202413649,9.85420868258717,13.6765860034942,17.1933760088127,18.8844261933096,22.1700043762397,22.690636661935,25.2692815173993,25.1826353257744,22.3807410160716,24.1319334612981,26.9310721184017,24.8523400709817,26.1848196963936,27.3827539899509,27.7225985953371,26.8988043286752,20.9025787819026,21.8558848545344,22.0876996060708,21.6566386128885,21.1067346458242,20.0395224525909,22.1970182238729,20.0559993178432,20.4847111217025,25.2375265574884,18.8720459004918,21.446323402434,
China,35.5392429003201,18.1127097773429,10.5135813565422,16.4783438899449,20.0950242215209,23.1659056411046,27.133299015811,19.4407748720655,19.1312160976434,19.8436456264003,29.0242767133669,29.5470563966408,27.4028006417744,29.4395346170929,29.0125120696858,30.1678145068664,27.9281287976046,28.4927794037777,37.8003942324152,36.4027962388618,35.1922738472369,33.3265189304113,33.51617387384,34.1959179566304,34.8926901680054,38.3484915705413,38.3632435378387,37.002637122054,37.8932113702236,37.2680567080383,36.1424484941986,36.1223974473751,37.4628112986796,44.4833431916658,42.2032910147538,41.8959530346072,40.4415215112832,37.9471464931052,37.101253524798,36.7446502447673,35.1186379369301,36.2676922915017,37.8658537249176,41.2029630734337,43.2631467560039,42.0990092056517,42.9717526097866,41.7377345782823,44.0462710510986,48.243427138462,47.7791237331818,
Colombia,20.2056907129936,20.4364617844149,18.0789468981689,17.6446618083406,17.4590975995087,17.6687895574825,20.4319115147876,18.4647345355892,21.1634932800397,20.4728312644374,20.3362259821644,19.2448334192936,17.9311648802304,18.0950822701102,21.4030484093503,17.0324952911322,17.6602106209255,18.7143259594234,18.2520476954591,18.1693232933244,19.0611285637028,20.627675742609,20.5021587331588,19.9074244666824,18.9545984944189,19.0298487100079,18.0011626474892,19.0607693142022,20.645539271088,18.4904612748912,18.5039423596911,15.9499293685322,16.7148807687628,21.2810701786494,25.5384467490805,25.7987433287578,22.1509386589832,20.9237506240474,19.7280791808155,12.8801341708134,15.045854274418,16.1025024733609,17.0487086262087,18.6452867257126,19.4242427590151,20.2254336245723,22.1659175093384,22.6584034685621,22.6736953706264,22.3715693407691,23.7347088038258,
Comoros,,,,,,,,,,,,,,,,,,,,,33.1685465376878,26.9878530798257,31.3839136736905,30.2640240963855,44.9603973978086,32.7922089039664,23.5880574121331,25.2460409959396,21.8347469866932,17.3951447051558,19.6668331521579,13.2414189286227,20.5228646853445,19.3040518812306,20.6836369277708,19.456987513247,19.4205717387371,15.8477478835922,17.9543141349171,14.9598178669417,10.0931259333463,10.0525021691526,11.0110002056469,10.30506582436,9.35842465597928,9.30916138060374,9.62667252741693,11.1710326340605,14.2814537734418,12.3981981601823,,
"Congo, Dem. Rep.",6.93173240498477,7.14055472631401,3.96422086092288,18.0516760657464,18.5096810527762,16.8632075423477,8.32657357407031,12.0196123738197,11.2475902755469,12.8268045957983,14.9222572468695,18.3927791266491,18.6468732323336,16.7202329822838,17.0939197894604,17.8206514263821,14.4707090804782,21.3936259977578,11.9304434233784,12.739804749222,9.956569873948,10.5010245487825,8.31931354611112,9.32472247564237,10.4921594767569,12.5021947256923,13.1988745025086,14.163379009533,14.4286555036777,14.3027372910745,9.05003681037846,5.57581272821126,6.90006399623231,1.76303762823042,7.89999971601664,9.37360174185379,27.8518183831766,2.50000004,2.10000006022082,3.08737266112935,3.45371920537515,5.20459352881181,8.95577981275498,12.2316263161862,12.7887407045417,14.1948535720824,13.0402798739607,19.5480806015606,23.858287600695,28.7153293019511,,
"Congo, Rep.",53.1868267597832,64.6534536925818,36.2984793603817,22.741085474771,20.3105559477012,22.4279805045308,30.2582931365314,31.5068441895281,29.5819836913183,26.7053766881722,24.210518231579,26.60653566859,29.0821303033816,31.9536487417218,35.0603277444996,39.1119210510949,31.0038858258458,26.5957412765957,27.3323231991931,25.9607434823529,35.7658157602664,48.1631899575411,59.7323943661972,38.4384385635636,30.3912363067293,30.2843026370004,29.4506275252279,19.7283630151546,18.6191198786039,14.12829619727,15.9055118110236,20.5281644334591,21.5985316846986,29.4961189317195,31.2410928783745,36.574512402954,26.9523736246826,22.2333849671756,26.6843752717155,27.7720278755261,22.6259541984733,26.356637211346,23.4075965604067,26.090324170206,22.520340843407,20.1902288122704,21.632456663721,21.8125548304661,18.3029791889592,22.5130190860463,20.5231699025219,
Costa Rica,17.5004311413751,18.8782255506865,19.4533381299518,18.7944279361072,15.9941216214826,19.5036265443349,19.0583916750329,19.3573443841462,18.027190581415,20.0289995715906,20.5364391973326,24.3365572972059,22.0270689275705,23.9933478013696,26.7386523688699,21.6410983943412,23.6621918375859,24.2697691914567,23.461361374722,25.3140140352017,26.5747300513269,29.026647416138,24.6860933322356,15.8823458312341,14.7007614452426,13.7514056652859,16.0709982984609,19.5355436208972,17.9220641338825,17.7429778370878,18.4780484454805,17.9351854686312,20.2357175734952,20.8838346210234,20.0479449550165,18.2394208381869,15.9576423492087,18.0843071774459,20.4661961050842,17.031244841501,16.9117425793819,20.3078765874434,22.6212499720061,20.6433886930137,23.1298296944336,24.346463945554,26.4172050758047,24.6649762915208,27.5791013184359,15.8693183883817,19.9756947217959,
